*------------------------------------*
NEWD!P!0!templateshirt.JPG!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(26.419708, 4.0, -10.254875)
NEWD!A!1!shirtyellowbob.jpg!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(7.134018, 4.0, -3.4332237)
NEWD!A!2!shirtyellowcarl.jpg!skinCarl.jpg!shortsblue.jpg!shoesgreen.jpg!Carl.jpg!(-20.08528, 4.0, 16.634064)
NEWD!A!3!shirtyellowalan.jpg!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(-12.630743, 4.0, 1.0160255)
NEWD!A!4!templateshirt.JPG!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(31.188646, 4.0, -27.143763)
NEWD!A!5!templateshirt.JPG!skinCarl.jpg!shortsblue.jpg!shoesgreen.jpg!Carl.jpg!(8.540983, 4.0, -10.629776)
0$B(0.0, -4.1499996, 0.0)$0P$(26.419708, 4.0, -10.254875)$258.07$leftShoulderJoint:(0.5096054, -0.8190238, -2.9742472E-8, 0.26363277);leftElbowJoint:(0.094918676, -0.26874703, 3.4160497E-8, 0.95852256);rightShoulderJoint:(-0.70354813, 0.6833332, 1.0647465E-7, 0.19512987);rightElbowJoint:(0.07100155, -0.14319642, 1.8205292E-9, 0.9871442);$0.0$1A$(7.134018, 4.0, -3.4332237)$109.72355$0$4.0$2A$(-20.08528, 4.0, 16.634064)$120.280334$0$4.0$3A$(-12.630743, 4.0, 1.0160255)$106.343475$0$4.0$4A$(31.188646, 4.0, -27.143763)$282.33316$0$0.0$5A$(8.540983, 4.0, -10.629776)$260.3942$0$0.0$
335$B(25.228806, 4.3777018, -12.825028)$0P$(26.424545, 4.0787244, -10.254885)$262.029$leftShoulderJoint:(0.42706302, -0.0486803, -1.0649909E-8, 0.90291053);leftElbowJoint:(0.10335378, 0.121096045, -1.5392548E-8, 0.98724556);rightShoulderJoint:(-0.15647009, 0.19667023, 2.9624454E-8, 0.9679039);rightElbowJoint:(-0.16968071, 0.27759403, -4.3507318E-9, 0.9455951);$0.0$1A$(14.612003, 4.0770326, -7.265605)$119.72355$0$4.0$2A$(-12.775375, 4.068842, 8.830262)$135.0248$0$4.0$3A$(-4.506436, 4.0764623, -5.948384)$132.98077$0$4.0$4A$(21.737024, 4.076135, -31.084892)$255.95088$0$4.0$5A$(8.237325, 4.077571, -3.3501596)$49.754646$0$0.0$
336$B(25.228806, 4.3777018, -12.825028)$0P$(26.424545, 4.0787244, -10.254885)$262.029$leftShoulderJoint:(0.42706302, -0.0486803, -1.0649909E-8, 0.90291053);leftElbowJoint:(0.10335378, 0.121096045, -1.5392548E-8, 0.98724556);rightShoulderJoint:(-0.15647009, 0.19667023, 2.9624454E-8, 0.9679039);rightElbowJoint:(-0.16968071, 0.27759403, -4.3507318E-9, 0.9455951);$0.0$1A$(14.668248, 4.077093, -7.294438)$119.72355$0$4.0$2A$(-12.724671, 4.066117, 8.786978)$135.0248$0$4.0$3A$(-4.4614477, 4.073737, -5.9975824)$132.98077$0$4.0$4A$(21.67464, 4.0763383, -31.0759)$257.29242$0$4.0$5A$(8.241414, 4.077613, -3.3419576)$51.096184$0$0.0$
337$B(25.228806, 4.3777018, -12.825028)$0P$(26.424545, 4.0787244, -10.254885)$262.029$leftShoulderJoint:(0.42706302, -0.0486803, -1.0649909E-8, 0.90291053);leftElbowJoint:(0.10335378, 0.121096045, -1.5392548E-8, 0.98724556);rightShoulderJoint:(-0.15647009, 0.19667023, 2.9624454E-8, 0.9679039);rightElbowJoint:(-0.16968071, 0.27759403, -4.3507318E-9, 0.9455951);$0.0$1A$(14.668248, 4.077093, -7.294438)$119.72355$0$4.0$2A$(-12.724671, 4.066117, 8.786978)$135.0248$0$4.0$3A$(-4.4614477, 4.073737, -5.9975824)$132.98077$0$4.0$4A$(21.67464, 4.0763383, -31.0759)$256.2541$0$0.0$5A$(8.241414, 4.077613, -3.3419576)$52.134514$0$0.0$
338$B(25.228806, 4.3777018, -12.825028)$0P$(26.424545, 4.0787244, -10.254885)$262.029$leftShoulderJoint:(0.42706302, -0.0486803, -1.0649909E-8, 0.90291053);leftElbowJoint:(0.10335378, 0.121096045, -1.5392548E-8, 0.98724556);rightShoulderJoint:(-0.15647009, 0.19667023, 2.9624454E-8, 0.9679039);rightElbowJoint:(-0.16968071, 0.27759403, -4.3507318E-9, 0.9455951);$0.0$1A$(14.668248, 4.077093, -7.294438)$119.72355$0$4.0$2A$(-12.724671, 4.066117, 8.786978)$135.0248$0$4.0$3A$(-4.4614477, 4.073737, -5.9975824)$132.98077$0$4.0$4A$(21.67464, 4.0763383, -31.0759)$257.19156$0$0.0$5A$(8.241414, 4.077613, -3.3419576)$53.071987$0$0.0$
339$B(25.228806, 4.3777018, -12.825028)$0P$(26.424545, 4.0787244, -10.254885)$262.029$leftShoulderJoint:(0.42706302, -0.0486803, -1.0649909E-8, 0.90291053);leftElbowJoint:(0.10335378, 0.121096045, -1.5392548E-8, 0.98724556);rightShoulderJoint:(-0.15647009, 0.19667023, 2.9624454E-8, 0.9679039);rightElbowJoint:(-0.16968071, 0.27759403, -4.3507318E-9, 0.9455951);$0.0$1A$(14.724533, 4.0771194, -7.323292)$119.72355$0$4.0$2A$(-12.678836, 4.0685253, 8.747875)$135.0248$0$4.0$3A$(-4.4196177, 4.074659, -6.0434713)$132.98077$0$4.0$4A$(21.61444, 4.076693, -31.057957)$255.82259$0$0.0$5A$(8.243887, 4.0777106, -3.3368497)$54.44096$0$0.0$
340$B(25.228806, 4.3777018, -12.825028)$0P$(26.424545, 4.0787244, -10.254885)$262.029$leftShoulderJoint:(0.42706302, -0.0486803, -1.0649909E-8, 0.90291053);leftElbowJoint:(0.10335378, 0.121096045, -1.5392548E-8, 0.98724556);rightShoulderJoint:(-0.15647009, 0.19667023, 2.9624454E-8, 0.9679039);rightElbowJoint:(-0.16968071, 0.27759403, -4.3507318E-9, 0.9455951);$0.0$1A$(14.724533, 4.0771194, -7.323292)$119.72355$0$4.0$2A$(-12.678836, 4.0685253, 8.747875)$135.0248$0$4.0$3A$(-4.4196177, 4.074659, -6.0434713)$132.98077$0$4.0$4A$(21.61444, 4.076693, -31.057957)$255.82259$0$4.0$5A$(8.243887, 4.0777106, -3.3368497)$55.446815$0$0.0$
341$B(25.228806, 4.3777018, -12.825028)$0P$(26.424545, 4.0787244, -10.254885)$262.029$leftShoulderJoint:(0.42706302, -0.0486803, -1.0649909E-8, 0.90291053);leftElbowJoint:(0.10335378, 0.121096045, -1.5392548E-8, 0.98724556);rightShoulderJoint:(-0.15647009, 0.19667023, 2.9624454E-8, 0.9679039);rightElbowJoint:(-0.16968071, 0.27759403, -4.3507318E-9, 0.9455951);$0.0$1A$(14.724533, 4.0771194, -7.323292)$119.72355$0$4.0$2A$(-12.678836, 4.0685253, 8.747875)$135.0248$0$4.0$3A$(-4.4196177, 4.074659, -6.0434713)$132.98077$0$4.0$4A$(21.61444, 4.076693, -31.057957)$254.74849$0$4.0$5A$(8.243887, 4.0777106, -3.3368497)$56.520912$0$0.0$
342$B(25.228806, 4.3777018, -12.825028)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.34690538, -0.1154507, -1.0350224E-8, 0.9307673);leftElbowJoint:(-0.026185239, 0.25835782, -3.2839925E-8, 0.96569437);rightShoulderJoint:(-0.070822805, 0.1591478, 2.2735714E-8, 0.98471117);rightElbowJoint:(-0.09171378, 0.29986918, -2.351605E-9, 0.94956154);$0.0$1A$(14.781064, 4.0769405, -7.352268)$119.72355$0$4.0$2A$(-12.628104, 4.0658, 8.704623)$135.0248$0$4.0$3A$(-4.377715, 4.0754313, -6.0895405)$132.98077$0$4.0$4A$(21.559927, 4.076565, -31.090446)$254.74849$0$4.0$5A$(8.244895, 4.0777617, -3.3346934)$57.84971$0$0.0$
343$B(25.07877, 3.9433374, -12.255448)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(14.781064, 4.0769405, -7.352268)$119.72355$0$4.0$2A$(-12.628104, 4.0658, 8.704623)$135.0248$0$4.0$3A$(-4.377715, 4.0754313, -6.0895405)$132.98077$0$4.0$4A$(21.559927, 4.076565, -31.090446)$253.86617$0$4.0$5A$(8.244895, 4.0777617, -3.3346934)$58.73203$0$0.0$
344$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(14.781064, 4.0769405, -7.352268)$119.72355$0$4.0$2A$(-12.628104, 4.0658, 8.704623)$135.0248$0$4.0$3A$(-4.377715, 4.0754313, -6.0895405)$132.98077$0$4.0$4A$(21.559927, 4.076565, -31.090446)$252.98538$0$4.0$5A$(8.244895, 4.0777617, -3.3346934)$59.61281$0$0.0$
345$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(14.837477, 4.0768642, -7.3811836)$119.72355$0$4.0$2A$(-12.582312, 4.0682683, 8.665585)$135.0248$0$4.0$3A$(-4.3358116, 4.076092, -6.135791)$132.98077$0$4.0$4A$(21.51223, 4.0762787, -31.132631)$252.98538$0$4.0$5A$(8.244933, 4.0778213, -3.3345883)$60.83144$0$0.0$
346$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(14.837477, 4.0768642, -7.3811836)$119.72355$0$4.0$2A$(-12.582312, 4.0682683, 8.665585)$135.0248$0$4.0$3A$(-4.3358116, 4.076092, -6.135791)$132.98077$0$4.0$4A$(21.51223, 4.0762787, -31.132631)$253.98431$0$4.0$5A$(8.244933, 4.0778213, -3.3345883)$61.830364$0$0.0$
347$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(14.837477, 4.0768642, -7.3811836)$119.72355$0$4.0$2A$(-12.582312, 4.0682683, 8.665585)$135.0248$0$4.0$3A$(-4.3358116, 4.076092, -6.135791)$132.98077$0$4.0$4A$(21.51223, 4.0762787, -31.132631)$252.95383$0$0.0$5A$(8.244933, 4.0778213, -3.3345883)$62.860855$0$0.0$
348$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(14.837477, 4.0768642, -7.3811836)$119.72355$0$4.0$2A$(-12.582312, 4.0682683, 8.665585)$135.0248$0$4.0$3A$(-4.3358116, 4.076092, -6.135791)$132.98077$0$4.0$4A$(21.51223, 4.0762787, -31.132631)$253.96107$0$4.0$5A$(8.244933, 4.0778213, -3.3345883)$63.86811$0$0.0$
349$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(14.893659, 4.0769796, -7.4099846)$119.72355$0$4.0$2A$(-12.536049, 4.0702424, 8.626144)$135.0248$0$4.0$3A$(-4.293953, 4.0766854, -6.182182)$132.98077$0$4.0$4A$(21.44906, 4.076372, -31.131828)$252.79088$0$0.0$5A$(8.244929, 4.0778685, -3.3345785)$65.03831$0$0.0$
350$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(14.893659, 4.0769796, -7.4099846)$119.72355$0$4.0$2A$(-12.536049, 4.0702424, 8.626144)$135.0248$0$4.0$3A$(-4.293953, 4.0766854, -6.182182)$132.98077$0$4.0$4A$(21.44906, 4.076372, -31.131828)$252.08054$0$4.0$5A$(8.244929, 4.0778685, -3.3345785)$65.74866$0$0.0$
351$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(14.893659, 4.0769796, -7.4099846)$119.72355$0$4.0$2A$(-12.536049, 4.0702424, 8.626144)$135.0248$0$4.0$3A$(-4.293953, 4.0766854, -6.182182)$132.98077$0$4.0$4A$(21.44906, 4.076372, -31.131828)$252.89832$0$4.0$5A$(8.244929, 4.0778685, -3.3345785)$66.566444$0$0.0$
352$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(14.950093, 4.0768843, -7.438911)$119.72355$0$4.0$2A$(-12.485312, 4.0675173, 8.582898)$135.0248$0$4.0$3A$(-4.2524343, 4.0775194, -6.2283974)$134.37207$0$4.0$4A$(21.386274, 4.0766635, -31.135612)$251.50702$0$4.0$5A$(8.244923, 4.0779066, -3.334572)$67.95775$0$0.0$
353$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(14.950093, 4.0768843, -7.438911)$119.72355$0$4.0$2A$(-12.485312, 4.0675173, 8.582898)$135.0248$0$4.0$3A$(-4.2524343, 4.0775194, -6.2283974)$134.37207$0$4.0$4A$(21.386274, 4.0766635, -31.135612)$250.54155$0$4.0$5A$(8.244923, 4.0779066, -3.334572)$68.92322$0$0.0$
354$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(14.950093, 4.0768843, -7.438911)$119.72355$0$4.0$2A$(-12.485312, 4.0675173, 8.582898)$135.0248$0$4.0$3A$(-4.2524343, 4.0775194, -6.2283974)$134.37207$0$4.0$4A$(21.386274, 4.0766635, -31.135612)$250.54155$0$4.0$5A$(8.244923, 4.0779066, -3.334572)$69.892815$0$0.0$
355$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(15.006477, 4.076832, -7.4678125)$119.72355$0$4.0$2A$(-12.439158, 4.0696115, 8.543554)$135.0248$0$4.0$3A$(-4.207883, 4.0747943, -6.2779922)$134.37207$0$4.0$4A$(21.326233, 4.0766363, -31.155743)$249.62143$0$4.0$5A$(8.244915, 4.077937, -3.3345656)$70.81293$0$0.0$
356$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(15.006477, 4.076832, -7.4678125)$119.72355$0$4.0$2A$(-12.439158, 4.0696115, 8.543554)$135.0248$0$4.0$3A$(-4.207883, 4.0747943, -6.2779922)$134.37207$0$4.0$4A$(21.326233, 4.0766363, -31.155743)$250.26913$0$4.0$5A$(8.244915, 4.077937, -3.3345656)$71.46063$0$0.0$
357$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(15.006477, 4.076832, -7.4678125)$119.72355$0$4.0$2A$(-12.439158, 4.0696115, 8.543554)$135.0248$0$4.0$3A$(-4.207883, 4.0747943, -6.2779922)$134.37207$0$4.0$4A$(21.326233, 4.0766363, -31.155743)$250.88408$0$4.0$5A$(8.244915, 4.077937, -3.3345656)$72.075584$0$0.0$
358$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(15.006477, 4.076832, -7.4678125)$119.72355$0$4.0$2A$(-12.439158, 4.0696115, 8.543554)$135.0248$0$4.0$3A$(-4.207883, 4.0747943, -6.2779922)$134.37207$0$4.0$4A$(21.326233, 4.0766363, -31.155743)$250.30315$0$4.0$5A$(8.244915, 4.077937, -3.3345656)$72.65652$0$0.0$
359$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(15.006477, 4.076832, -7.4678125)$119.72355$0$4.0$2A$(-12.439158, 4.0696115, 8.543554)$135.0248$0$4.0$3A$(-4.207883, 4.0747943, -6.2779922)$134.37207$0$4.0$4A$(21.326233, 4.0766363, -31.155743)$250.9111$0$4.0$5A$(8.244915, 4.077937, -3.3345656)$73.264465$0$0.0$
360$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(15.062836, 4.076802, -7.4967012)$119.72355$0$4.0$2A$(-12.388422, 4.0668864, 8.500308)$135.0248$0$4.0$3A$(-4.166434, 4.0756283, -6.324348)$134.37207$0$4.0$4A$(21.263454, 4.076604, -31.164106)$249.67218$0$4.0$5A$(8.244905, 4.077961, -3.3345573)$74.503395$0$0.0$
361$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(15.062836, 4.076802, -7.4967012)$119.72355$0$4.0$2A$(-12.388422, 4.0668864, 8.500308)$135.0248$0$4.0$3A$(-4.166434, 4.0756283, -6.324348)$134.37207$0$4.0$4A$(21.263454, 4.076604, -31.164106)$248.65225$0$4.0$5A$(8.244905, 4.077961, -3.3345573)$75.523315$0$0.0$
362$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$266.393$leftShoulderJoint:(0.35795423, -0.08482765, -9.91204E-9, 0.929878);leftElbowJoint:(-0.048066676, 0.25666362, -3.2624577E-8, 0.9653048);rightShoulderJoint:(-0.07857021, 0.14477387, 2.0995778E-8, 0.98634034);rightElbowJoint:(-0.11633804, 0.2929166, -2.982988E-9, 0.9490339);$0.0$1A$(15.062836, 4.076802, -7.4967012)$119.72355$0$4.0$2A$(-12.388422, 4.0668864, 8.500308)$135.0248$0$4.0$3A$(-4.166434, 4.0756283, -6.324348)$134.37207$0$4.0$4A$(21.263454, 4.076604, -31.164106)$247.61652$0$4.0$5A$(8.244905, 4.077961, -3.3345573)$76.55906$0$0.0$
363$B(25.167652, 3.9435806, -12.360462)$0P$(26.424545, 4.0787244, -10.254885)$272.161$leftShoulderJoint:(0.29197183, -0.12394642, -9.310676E-9, 0.94836164);leftElbowJoint:(-0.19611053, 0.29734254, -3.779528E-8, 0.93441325);rightShoulderJoint:(-0.05497324, 0.26848078, 3.6925137E-8, 0.96171516);rightElbowJoint:(-0.052701257, 0.052242722, -1.3512967E-9, 0.9972428);$0.0$1A$(15.118984, 4.0769463, -7.5254846)$119.72355$0$4.0$2A$(-12.342422, 4.069136, 8.461092)$135.0248$0$4.0$3A$(-4.125008, 4.0763807, -6.3708453)$134.37207$0$4.0$4A$(21.209227, 4.0761824, -31.197813)$248.94693$0$4.0$5A$(8.244894, 4.0779796, -3.3345475)$77.889465$0$0.0$
364$B(25.101765, 3.6688294, -12.177699)$0P$(26.424545, 4.0787244, -10.254885)$272.161$leftShoulderJoint:(0.29197183, -0.12394642, -9.310676E-9, 0.94836164);leftElbowJoint:(-0.19611053, 0.29734254, -3.779528E-8, 0.93441325);rightShoulderJoint:(-0.05497324, 0.26848078, 3.6925137E-8, 0.96171516);rightElbowJoint:(-0.052701257, 0.052242722, -1.3512967E-9, 0.9972428);$0.0$1A$(15.118984, 4.0769463, -7.5254846)$119.72355$0$4.0$2A$(-12.342422, 4.069136, 8.461092)$135.0248$0$4.0$3A$(-4.125008, 4.0763807, -6.3708453)$134.37207$0$4.0$4A$(21.209227, 4.0761824, -31.197813)$249.8702$0$4.0$5A$(8.244894, 4.0779796, -3.3345475)$78.81273$0$0.0$
365$B(25.101765, 3.6688294, -12.177699)$0P$(26.424545, 4.0787244, -10.254885)$272.161$leftShoulderJoint:(0.29197183, -0.12394642, -9.310676E-9, 0.94836164);leftElbowJoint:(-0.19611053, 0.29734254, -3.779528E-8, 0.93441325);rightShoulderJoint:(-0.05497324, 0.26848078, 3.6925137E-8, 0.96171516);rightElbowJoint:(-0.052701257, 0.052242722, -1.3512967E-9, 0.9972428);$0.0$1A$(15.118984, 4.0769463, -7.5254846)$119.72355$0$4.0$2A$(-12.342422, 4.069136, 8.461092)$135.0248$0$4.0$3A$(-4.125008, 4.0763807, -6.3708453)$134.37207$0$4.0$4A$(21.209227, 4.0761824, -31.197813)$249.20828$0$4.0$5A$(8.244894, 4.0779796, -3.3345475)$79.47464$0$0.0$
366$B(25.101765, 3.6688294, -12.177699)$0P$(26.424545, 4.0787244, -10.254885)$272.161$leftShoulderJoint:(0.29197183, -0.12394642, -9.310676E-9, 0.94836164);leftElbowJoint:(-0.19611053, 0.29734254, -3.779528E-8, 0.93441325);rightShoulderJoint:(-0.05497324, 0.26848078, 3.6925137E-8, 0.96171516);rightElbowJoint:(-0.052701257, 0.052242722, -1.3512967E-9, 0.9972428);$0.0$1A$(15.118984, 4.0769463, -7.5254846)$119.72355$0$4.0$2A$(-12.342422, 4.069136, 8.461092)$135.0248$0$4.0$3A$(-4.125008, 4.0763807, -6.3708453)$134.37207$0$4.0$4A$(21.209227, 4.0761824, -31.197813)$249.20828$0$4.0$5A$(8.244894, 4.0779796, -3.3345475)$80.21474$0$0.0$
367$B(25.101765, 3.6688294, -12.177699)$0P$(26.424545, 4.0787244, -10.254885)$272.161$leftShoulderJoint:(0.29197183, -0.12394642, -9.310676E-9, 0.94836164);leftElbowJoint:(-0.19611053, 0.29734254, -3.779528E-8, 0.93441325);rightShoulderJoint:(-0.05497324, 0.26848078, 3.6925137E-8, 0.96171516);rightElbowJoint:(-0.052701257, 0.052242722, -1.3512967E-9, 0.9972428);$0.0$1A$(15.175401, 4.076866, -7.554403)$119.72355$0$4.0$2A$(-12.291685, 4.066411, 8.417846)$135.0248$0$4.0$3A$(-4.083713, 4.077143, -6.417409)$134.37207$0$4.0$4A$(21.14995, 4.0762715, -31.219673)$250.55437$0$4.0$5A$(8.244881, 4.077994, -3.334536)$81.56082$0$0.0$
