*------------------------------------*
NEWD!P!0!templateshirt.JPG!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(41.442863, 4.0, -3.4252815)
NEWD!A!1!shirtyellowbob.jpg!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(5.1782646, 4.0, -2.4962654)
NEWD!A!2!shirtyellowcarl.jpg!skinCarl.jpg!shortsblue.jpg!shoesgreen.jpg!Carl.jpg!(-18.152615, 4.0, 1.1153564)
NEWD!A!3!shirtyellowalan.jpg!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(-7.595375, 4.0, -19.452581)
NEWD!A!4!templateshirt.JPG!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(30.006912, 4.0, -25.468725)
0$B(0.0, -4.1499996, 0.0)$0P$(41.442863, 4.0, -3.4252815)$270.0$0$0$1A$(5.1782646, 4.0, -2.4962654)$91.46747$0$1$2A$(-18.152615, 4.0, 1.1153564)$94.69237$0$1$3A$(-7.595375, 4.0, -19.452581)$72.23628$0$0$4A$(30.006912, 4.0, -25.468725)$281.0584$0$1$
NEWD!N!5!templateshirt.JPG!skin1.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(22.941164, 5.0, -6.5546837)
1$B(41.5786, 3.0354393, -4.950614)$0P$(41.448154, 4.0784693, -3.4252815)$270.0$0$0$1A$(5.2219877, 4.0155735, -2.4988227)$91.46747$0$1$2A$(-18.114998, 4.0156097, 1.0930154)$104.69237$0$1$3A$(-7.595378, 4.0156164, -19.45258)$82.23628$0$0$4A$(29.940952, 3.997275, -25.45905)$291.0584$0$1$5N$(22.941164, 5.0, -6.5546837)$0.0$leftShoulderJoint:(0.0, 0.0, 0.0, 1.0);leftElbowJoint:(0.0, 0.0, 0.0, 1.0);rightShoulderJoint:(0.0, 0.0, 0.0, 1.0);rightElbowJoint:(0.0, 0.0, 0.0, 1.0);$0$
435$B(41.583897, 3.114642, -4.950614)$0P$(41.44816, 4.0786934, -3.4252815)$270.0$0$0$1A$(12.99463, 4.0724216, -2.9393754)$91.46747$0$1$2A$(-10.467799, 4.0864263, -0.77392226)$104.69237$0$1$3A$(0.016712606, 4.0766077, -20.204067)$94.395164$0$1$4A$(24.626266, 4.0775948, -20.579565)$328.13333$0$1$5N$(22.936491, 4.077915, -6.555292)$0.0$leftShoulderJoint:(-0.019748649, 0.9352317, -0.07692149, 0.345014);leftElbowJoint:(2.392549E-4, 0.20181505, 0.0017407149, 0.9794221);rightShoulderJoint:(-0.06792274, 0.81587154, 0.41012222, -0.40192017);rightElbowJoint:(0.9062929, -0.27145296, -0.04475965, 0.32084763);$0$
436$B(41.583897, 3.1141326, -4.950614)$0P$(41.44816, 4.0786934, -3.4252815)$270.0$0$0$1A$(12.99463, 4.0724216, -2.9393754)$91.46747$0$1$2A$(-10.467799, 4.0864263, -0.77392226)$104.69237$0$1$3A$(0.016712606, 4.0766077, -20.204067)$94.395164$0$1$4A$(24.626266, 4.0775948, -20.579565)$328.13333$0$1$5N$(22.936491, 4.077915, -6.555292)$0.0$leftShoulderJoint:(-0.019748649, 0.9352317, -0.07692149, 0.345014);leftElbowJoint:(2.392549E-4, 0.20181505, 0.0017407149, 0.9794221);rightShoulderJoint:(-0.06792274, 0.81587154, 0.41012222, -0.40192017);rightElbowJoint:(0.9062929, -0.27145296, -0.04475965, 0.32084763);$0$
437$B(41.583897, 3.1141326, -4.950614)$0P$(41.44816, 4.0786934, -3.4252815)$270.0$0$0$1A$(12.99463, 4.0724216, -2.9393754)$91.46747$0$1$2A$(-10.467799, 4.0864263, -0.77392226)$104.69237$0$1$3A$(0.016712606, 4.0766077, -20.204067)$94.395164$0$1$4A$(24.626266, 4.0775948, -20.579565)$328.13333$0$1$5N$(22.936491, 4.077915, -6.555292)$0.0$leftShoulderJoint:(-0.019748649, 0.9352317, -0.07692149, 0.345014);leftElbowJoint:(2.392549E-4, 0.20181505, 0.0017407149, 0.9794221);rightShoulderJoint:(-0.06792274, 0.81587154, 0.41012222, -0.40192017);rightElbowJoint:(0.9062929, -0.27145296, -0.04475965, 0.32084763);$0$
438$B(41.583897, 3.1141326, -4.950614)$0P$(41.44816, 4.0786934, -3.4252815)$270.0$0$0$1A$(12.99463, 4.0724216, -2.9393754)$91.46747$0$1$2A$(-10.467799, 4.0864263, -0.77392226)$104.69237$0$1$3A$(0.016712606, 4.0766077, -20.204067)$94.395164$0$1$4A$(24.626266, 4.0775948, -20.579565)$328.13333$0$1$5N$(22.936491, 4.077915, -6.555292)$0.0$leftShoulderJoint:(-0.019748649, 0.9352317, -0.07692149, 0.345014);leftElbowJoint:(2.392549E-4, 0.20181505, 0.0017407149, 0.9794221);rightShoulderJoint:(-0.06792274, 0.81587154, 0.41012222, -0.40192017);rightElbowJoint:(0.9062929, -0.27145296, -0.04475965, 0.32084763);$0$
439$B(41.583897, 3.1141326, -4.950614)$0P$(41.44816, 4.0787163, -3.4252815)$270.0$0$0$1A$(13.056332, 4.0735817, -2.9430234)$91.46747$0$1$2A$(-10.402911, 4.083701, -0.7892201)$104.69237$0$1$3A$(0.079968914, 4.076636, -20.203608)$94.395164$0$1$4A$(24.597466, 4.078232, -20.524227)$328.13333$0$1$5N$(22.936464, 4.0779247, -6.5552964)$0.0$leftShoulderJoint:(-0.019748649, 0.9352317, -0.07692149, 0.345014);leftElbowJoint:(2.392549E-4, 0.20181505, 0.0017407149, 0.9794221);rightShoulderJoint:(-0.06792274, 0.81587154, 0.41012222, -0.40192017);rightElbowJoint:(0.9062929, -0.27145296, -0.04475965, 0.32084763);$0$
440$B(41.583897, 3.1141555, -4.950614)$0P$(41.44816, 4.0787163, -3.4252815)$270.0$0$0$1A$(13.056332, 4.0735817, -2.9430234)$91.46747$0$1$2A$(-10.402911, 4.083701, -0.7892201)$104.69237$0$1$3A$(0.079968914, 4.076636, -20.203608)$94.395164$0$1$4A$(24.597466, 4.078232, -20.524227)$328.13333$0$1$5N$(22.936464, 4.0779247, -6.5552964)$0.0$leftShoulderJoint:(-0.019748649, 0.9352317, -0.07692149, 0.345014);leftElbowJoint:(2.392549E-4, 0.20181505, 0.0017407149, 0.9794221);rightShoulderJoint:(-0.06792274, 0.81587154, 0.41012222, -0.40192017);rightElbowJoint:(0.9062929, -0.27145296, -0.04475965, 0.32084763);$0$
441$B(41.583897, 3.1141555, -4.950614)$0P$(41.44816, 4.0787163, -3.4252815)$270.0$0$0$1A$(13.056332, 4.0735817, -2.9430234)$91.46747$0$1$2A$(-10.402911, 4.083701, -0.7892201)$104.69237$0$1$3A$(0.079968914, 4.076636, -20.203608)$94.395164$0$1$4A$(24.597466, 4.078232, -20.524227)$328.13333$0$1$5N$(22.936464, 4.0779247, -6.5552964)$0.0$leftShoulderJoint:(-0.019748649, 0.9352317, -0.07692149, 0.345014);leftElbowJoint:(2.392549E-4, 0.20181505, 0.0017407149, 0.9794221);rightShoulderJoint:(-0.06792274, 0.81587154, 0.41012222, -0.40192017);rightElbowJoint:(0.9062929, -0.27145296, -0.04475965, 0.32084763);$0$
442$B(41.583897, 3.1141555, -4.950614)$0P$(41.44816, 4.0787163, -3.4252815)$270.0$0$0$1A$(13.056332, 4.0735817, -2.9430234)$91.46747$0$1$2A$(-10.402911, 4.083701, -0.7892201)$104.69237$0$1$3A$(0.079968914, 4.076636, -20.203608)$94.395164$0$1$4A$(24.597466, 4.078232, -20.524227)$328.13333$0$1$5N$(22.936464, 4.0779247, -6.5552964)$0.0$leftShoulderJoint:(-0.019748649, 0.9352317, -0.07692149, 0.345014);leftElbowJoint:(2.392549E-4, 0.20181505, 0.0017407149, 0.9794221);rightShoulderJoint:(-0.06792274, 0.81587154, 0.41012222, -0.40192017);rightElbowJoint:(0.9062929, -0.27145296, -0.04475965, 0.32084763);$0$
443$B(41.583897, 3.1141555, -4.950614)$0P$(41.44816, 4.0791535, -3.4252815)$270.0$0$0$1A$(13.122882, 4.0708566, -2.9469624)$91.46747$0$1$2A$(-10.338023, 4.080976, -0.8045179)$104.69237$0$1$3A$(0.14282674, 4.0769553, -20.20299)$93.57831$0$1$4A$(24.566795, 4.0755067, -20.465034)$328.13333$0$1$5N$(22.936441, 4.077934, -6.555302)$0.0$leftShoulderJoint:(-0.019748649, 0.9352317, -0.07692149, 0.345014);leftElbowJoint:(2.392549E-4, 0.20181505, 0.0017407149, 0.9794221);rightShoulderJoint:(-0.06792274, 0.81587154, 0.41012222, -0.40192017);rightElbowJoint:(0.9062929, -0.27145296, -0.04475965, 0.32084763);$0$
444$B(41.583897, 3.1145928, -4.950614)$0P$(41.44816, 4.0791535, -3.4252815)$270.0$0$0$1A$(13.122882, 4.0708566, -2.9469624)$91.46747$0$1$2A$(-10.338023, 4.080976, -0.8045179)$104.69237$0$1$3A$(0.14282674, 4.0769553, -20.20299)$93.57831$0$1$4A$(24.566795, 4.0755067, -20.465034)$328.13333$0$1$5N$(22.936441, 4.077934, -6.555302)$0.0$leftShoulderJoint:(-0.019748649, 0.9352317, -0.07692149, 0.345014);leftElbowJoint:(2.392549E-4, 0.20181505, 0.0017407149, 0.9794221);rightShoulderJoint:(-0.06792274, 0.81587154, 0.41012222, -0.40192017);rightElbowJoint:(0.9062929, -0.27145296, -0.04475965, 0.32084763);$0$
445$B(41.583897, 3.1145928, -4.950614)$0P$(41.44816, 4.0791535, -3.4252815)$270.0$0$0$1A$(13.122882, 4.0708566, -2.9469624)$91.46747$0$1$2A$(-10.338023, 4.080976, -0.8045179)$104.69237$0$1$3A$(0.14282674, 4.0769553, -20.20299)$93.57831$0$1$4A$(24.566795, 4.0755067, -20.465034)$328.13333$0$1$5N$(22.936441, 4.077934, -6.555302)$0.0$leftShoulderJoint:(-0.019748649, 0.9352317, -0.07692149, 0.345014);leftElbowJoint:(2.392549E-4, 0.20181505, 0.0017407149, 0.9794221);rightShoulderJoint:(-0.06792274, 0.81587154, 0.41012222, -0.40192017);rightElbowJoint:(0.9062929, -0.27145296, -0.04475965, 0.32084763);$0$
446$B(41.583897, 3.1145928, -4.950614)$0P$(41.44816, 4.0791535, -3.4252815)$270.0$0$0$1A$(13.122882, 4.0708566, -2.9469624)$91.46747$0$1$2A$(-10.338023, 4.080976, -0.8045179)$104.69237$0$1$3A$(0.14282674, 4.0769553, -20.20299)$93.57831$0$1$4A$(24.566795, 4.0755067, -20.465034)$328.13333$0$1$5N$(22.936441, 4.077934, -6.555302)$0.0$leftShoulderJoint:(-0.019748649, 0.9352317, -0.07692149, 0.345014);leftElbowJoint:(2.392549E-4, 0.20181505, 0.0017407149, 0.9794221);rightShoulderJoint:(-0.06792274, 0.81587154, 0.41012222, -0.40192017);rightElbowJoint:(0.9062929, -0.27145296, -0.04475965, 0.32084763);$0$
447$B(41.583897, 3.1145928, -4.950614)$0P$(41.44816, 4.0792027, -3.4252815)$270.0$0$0$1A$(13.184382, 4.0721955, -2.950604)$91.46747$0$1$2A$(-10.273135, 4.078251, -0.81981575)$104.69237$0$1$3A$(0.20576179, 4.0772114, -20.202196)$93.57831$0$1$4A$(24.538052, 4.0761476, -20.409605)$328.13333$0$1$5N$(22.93605, 4.077787, -6.555336)$0.0$leftShoulderJoint:(-0.019748649, 0.9352317, -0.07692149, 0.345014);leftElbowJoint:(2.392549E-4, 0.20181505, 0.0017407149, 0.9794221);rightShoulderJoint:(-0.06792274, 0.81587154, 0.41012222, -0.40192017);rightElbowJoint:(0.9062929, -0.27145296, -0.04475965, 0.32084763);$0$
448$B(41.583897, 3.114642, -4.950614)$0P$(41.44816, 4.0792027, -3.4252815)$270.0$0$0$1A$(13.184382, 4.0721955, -2.950604)$91.46747$0$1$2A$(-10.273135, 4.078251, -0.81981575)$104.69237$0$1$3A$(0.20576179, 4.0772114, -20.202196)$93.57831$0$1$4A$(24.538052, 4.0761476, -20.409605)$328.13333$0$1$5N$(22.93605, 4.077787, -6.555336)$0.0$leftShoulderJoint:(-0.019748649, 0.9352317, -0.07692149, 0.345014);leftElbowJoint:(2.392549E-4, 0.20181505, 0.0017407149, 0.9794221);rightShoulderJoint:(-0.06792274, 0.81587154, 0.41012222, -0.40192017);rightElbowJoint:(0.9062929, -0.27145296, -0.04475965, 0.32084763);$0$
449$B(41.583897, 3.114642, -4.950614)$0P$(41.44816, 4.0792027, -3.4252815)$270.0$0$0$1A$(13.184382, 4.0721955, -2.950604)$91.46747$0$1$2A$(-10.273135, 4.078251, -0.81981575)$104.69237$0$1$3A$(0.20576179, 4.0772114, -20.202196)$93.57831$0$1$4A$(24.538052, 4.0761476, -20.409605)$328.13333$0$1$5N$(22.93605, 4.077787, -6.555336)$0.0$leftShoulderJoint:(-0.019748649, 0.9352317, -0.07692149, 0.345014);leftElbowJoint:(2.392549E-4, 0.20181505, 0.0017407149, 0.9794221);rightShoulderJoint:(-0.06792274, 0.81587154, 0.41012222, -0.40192017);rightElbowJoint:(0.9062929, -0.27145296, -0.04475965, 0.32084763);$0$
450$B(41.583897, 3.114642, -4.950614)$0P$(41.44816, 4.0792027, -3.4252815)$270.0$0$0$1A$(13.184382, 4.0721955, -2.950604)$91.46747$0$1$2A$(-10.273135, 4.078251, -0.81981575)$104.69237$0$1$3A$(0.20576179, 4.0772114, -20.202196)$93.57831$0$1$4A$(24.538052, 4.0761476, -20.409605)$328.13333$0$1$5N$(22.93605, 4.077787, -6.555336)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
451$B(41.583897, 3.114642, -4.950614)$0P$(41.44816, 4.0786934, -3.4252815)$270.0$0$0$1A$(13.250933, 4.0694704, -2.9545429)$91.46747$0$1$2A$(-10.210558, 4.0739036, -0.8347113)$104.69237$0$1$3A$(0.26939723, 4.0769424, -20.201225)$93.57831$0$1$4A$(24.509317, 4.0767922, -20.354197)$328.13333$0$1$5N$(22.93602, 4.0778255, -6.55534)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
452$B(41.583897, 3.1141326, -4.950614)$0P$(41.44816, 4.0786934, -3.4252815)$270.0$0$0$1A$(13.250933, 4.0694704, -2.9545429)$91.46747$0$1$2A$(-10.210558, 4.0739036, -0.8347113)$104.69237$0$1$3A$(0.26939723, 4.0769424, -20.201225)$93.57831$0$1$4A$(24.509317, 4.0767922, -20.354197)$328.13333$0$1$5N$(22.93602, 4.0778255, -6.55534)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
453$B(41.583897, 3.1141326, -4.950614)$0P$(41.44816, 4.0786934, -3.4252815)$270.0$0$0$1A$(13.250933, 4.0694704, -2.9545429)$91.46747$0$1$2A$(-10.210558, 4.0739036, -0.8347113)$104.69237$0$1$3A$(0.26939723, 4.0769424, -20.201225)$93.57831$0$1$4A$(24.509317, 4.0767922, -20.354197)$328.13333$0$1$5N$(22.93602, 4.0778255, -6.55534)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
454$B(41.583897, 3.1141326, -4.950614)$0P$(41.44816, 4.0786934, -3.4252815)$270.0$0$0$1A$(13.250933, 4.0694704, -2.9545429)$91.46747$0$1$2A$(-10.210558, 4.0739036, -0.8347113)$104.69237$0$1$3A$(0.26939723, 4.0769424, -20.201225)$93.57831$0$1$4A$(24.509317, 4.0767922, -20.354197)$328.13333$0$1$5N$(22.93602, 4.0778255, -6.55534)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
455$B(41.583897, 3.1141326, -4.950614)$0P$(41.44816, 4.0787163, -3.4252815)$270.0$0$0$1A$(13.311982, 4.071162, -2.9581575)$91.46747$0$1$2A$(-10.150292, 4.0749516, -0.84892726)$104.69237$0$1$3A$(0.33283117, 4.076827, -20.200087)$93.57831$0$1$4A$(24.48057, 4.077434, -20.298811)$328.13333$0$1$5N$(22.936, 4.0778565, -6.555342)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
456$B(41.583897, 3.1141555, -4.950614)$0P$(41.44816, 4.0787163, -3.4252815)$270.0$0$0$1A$(13.311982, 4.071162, -2.9581575)$91.46747$0$1$2A$(-10.150292, 4.0749516, -0.84892726)$104.69237$0$1$3A$(0.33283117, 4.076827, -20.200087)$93.57831$0$1$4A$(24.48057, 4.077434, -20.298811)$328.13333$0$1$5N$(22.936, 4.0778565, -6.555342)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
457$B(41.583897, 3.1141555, -4.950614)$0P$(41.44816, 4.0787163, -3.4252815)$270.0$0$0$1A$(13.311982, 4.071162, -2.9581575)$91.46747$0$1$2A$(-10.150292, 4.0749516, -0.84892726)$104.69237$0$1$3A$(0.33283117, 4.076827, -20.200087)$93.57831$0$1$4A$(24.48057, 4.077434, -20.298811)$328.13333$0$1$5N$(22.936, 4.0778565, -6.555342)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
458$B(41.583897, 3.1141555, -4.950614)$0P$(41.44816, 4.0787163, -3.4252815)$270.0$0$0$1A$(13.311982, 4.071162, -2.9581575)$91.46747$0$1$2A$(-10.150292, 4.0749516, -0.84892726)$104.69237$0$1$3A$(0.33283117, 4.076827, -20.200087)$93.57831$0$1$4A$(24.48057, 4.077434, -20.298811)$328.13333$0$1$5N$(22.936, 4.0778565, -6.555342)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
459$B(41.583897, 3.1141555, -4.950614)$0P$(41.44816, 4.0791535, -3.4252815)$270.0$0$0$1A$(13.373472, 4.0725017, -2.961799)$91.46747$0$1$2A$(-10.089668, 4.0757155, -0.8632267)$104.69237$0$1$3A$(0.3962114, 4.0767503, -20.198778)$93.57831$0$1$4A$(24.451902, 4.0782943, -20.24376)$328.13333$0$1$5N$(22.935987, 4.0778823, -6.555345)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
460$B(41.583897, 3.1145928, -4.950614)$0P$(41.44816, 4.0791535, -3.4252815)$270.0$0$0$1A$(13.373472, 4.0725017, -2.961799)$91.46747$0$1$2A$(-10.089668, 4.0757155, -0.8632267)$104.69237$0$1$3A$(0.3962114, 4.0767503, -20.198778)$93.57831$0$1$4A$(24.451902, 4.0782943, -20.24376)$328.13333$0$1$5N$(22.935987, 4.0778823, -6.555345)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
461$B(41.583897, 3.1145928, -4.950614)$0P$(41.44816, 4.0791535, -3.4252815)$270.0$0$0$1A$(13.373472, 4.0725017, -2.961799)$91.46747$0$1$2A$(-10.089668, 4.0757155, -0.8632267)$104.69237$0$1$3A$(0.3962114, 4.0767503, -20.198778)$93.57831$0$1$4A$(24.451902, 4.0782943, -20.24376)$328.13333$0$1$5N$(22.935987, 4.0778823, -6.555345)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
462$B(41.583897, 3.1145928, -4.950614)$0P$(41.44816, 4.0791535, -3.4252815)$270.0$0$0$1A$(13.373472, 4.0725017, -2.961799)$91.46747$0$1$2A$(-10.089668, 4.0757155, -0.8632267)$104.69237$0$1$3A$(0.3962114, 4.0767503, -20.198778)$93.57831$0$1$4A$(24.451902, 4.0782943, -20.24376)$328.13333$0$1$5N$(22.935987, 4.0778823, -6.555345)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
463$B(41.583897, 3.1145928, -4.950614)$0P$(41.44816, 4.0792027, -3.4252815)$270.0$0$0$1A$(13.440022, 4.0697765, -2.9657378)$91.46747$0$1$2A$(-10.028902, 4.0763593, -0.87756264)$104.69237$0$1$3A$(0.45908707, 4.0770445, -20.197317)$92.687935$0$1$4A$(24.421232, 4.075569, -20.184566)$328.13333$0$1$5N$(22.935966, 4.0779014, -6.5553474)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
464$B(41.583897, 3.114642, -4.950614)$0P$(41.44816, 4.0792027, -3.4252815)$270.0$0$0$1A$(13.440022, 4.0697765, -2.9657378)$91.46747$0$1$2A$(-10.028902, 4.0763593, -0.87756264)$104.69237$0$1$3A$(0.45908707, 4.0770445, -20.197317)$92.687935$0$1$4A$(24.421232, 4.075569, -20.184566)$328.13333$0$1$5N$(22.935966, 4.0779014, -6.5553474)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
465$B(41.583897, 3.114642, -4.950614)$0P$(41.44816, 4.0792027, -3.4252815)$270.0$0$0$1A$(13.440022, 4.0697765, -2.9657378)$91.46747$0$1$2A$(-10.028902, 4.0763593, -0.87756264)$104.69237$0$1$3A$(0.45908707, 4.0770445, -20.197317)$92.687935$0$1$4A$(24.421232, 4.075569, -20.184566)$328.13333$0$1$5N$(22.935966, 4.0779014, -6.5553474)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
466$B(41.583897, 3.114642, -4.950614)$0P$(41.44816, 4.0792027, -3.4252815)$270.0$0$0$1A$(13.440022, 4.0697765, -2.9657378)$91.46747$0$1$2A$(-10.028902, 4.0763593, -0.87756264)$104.69237$0$1$3A$(0.45908707, 4.0770445, -20.197317)$92.687935$0$1$4A$(24.421232, 4.075569, -20.184566)$328.13333$0$1$5N$(22.935966, 4.0779014, -6.5553474)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
467$B(41.583897, 3.114642, -4.950614)$0P$(41.44816, 4.0786934, -3.4252815)$270.0$0$0$1A$(13.50107, 4.071461, -2.9693525)$91.46747$0$1$2A$(-9.968056, 4.076931, -0.8919207)$104.69237$0$1$3A$(0.52204597, 4.077269, -20.195667)$92.687935$0$1$4A$(24.392563, 4.0763297, -20.12929)$328.13333$0$1$5N$(22.935944, 4.077915, -6.5553513)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
468$B(41.583897, 3.1141326, -4.950614)$0P$(41.44816, 4.0786934, -3.4252815)$270.0$0$0$1A$(13.50107, 4.071461, -2.9693525)$91.46747$0$1$2A$(-9.968056, 4.076931, -0.8919207)$104.69237$0$1$3A$(0.52204597, 4.077269, -20.195667)$92.687935$0$1$4A$(24.392563, 4.0763297, -20.12929)$328.13333$0$1$5N$(22.935944, 4.077915, -6.5553513)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
469$B(41.583897, 3.1141326, -4.950614)$0P$(41.44816, 4.0786934, -3.4252815)$270.0$0$0$1A$(13.50107, 4.071461, -2.9693525)$91.46747$0$1$2A$(-9.968056, 4.076931, -0.8919207)$104.69237$0$1$3A$(0.52204597, 4.077269, -20.195667)$92.687935$0$1$4A$(24.392563, 4.0763297, -20.12929)$328.13333$0$1$5N$(22.935944, 4.077915, -6.5553513)$0.0$leftShoulderJoint:(-0.01964617, 0.93598187, -0.0760062, 0.34318382);leftElbowJoint:(3.8209278E-4, 0.21007335, 0.0018361248, 0.97768384);rightShoulderJoint:(-0.06754923, 0.8166146, 0.4132097, -0.39728495);rightElbowJoint:(0.9083351, -0.26627257, -0.044814203, 0.3194026);$0$
