*------------------------------------*
NEWD!P!0!templateshirt.JPG!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(28.33449, 4.0, 5.0551033)
NEWD!A!1!shirtyellowbob.jpg!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(4.188759, 4.0, -49.317314)
NEWD!A!2!shirtyellowcarl.jpg!skinCarl.jpg!shortsblue.jpg!shoesgreen.jpg!Carl.jpg!(-25.907146, 4.0, -22.273657)
NEWD!A!3!shirtyellowalan.jpg!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(-15.410032, 4.0, 5.6521225)
NEWD!A!4!templateshirt.JPG!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(42.169712, 4.0, -24.390009)
0$B(0.0, -4.1499996, 0.0)$0P$(28.33449, 4.0, 5.0551033)$274.539$leftShoulderJoint:(0.29368997, -0.93570536, -2.7521036E-8, 0.19545268);leftElbowJoint:(-0.029218147, -0.26376444, 3.352716E-8, 0.9641445);rightShoulderJoint:(-0.9336291, 0.31877473, 6.309012E-8, 0.16346104);rightElbowJoint:(-0.019697968, -0.15693101, -5.0506954E-10, 0.9874131);$0.0$1A$(4.188759, 4.0, -49.317314)$24.223923$0$4.0$2A$(-25.907146, 4.0, -22.273657)$63.2595$0$0.0$3A$(-15.410032, 4.0, 5.6521225)$90.78191$0$4.0$4A$(42.169712, 4.0, -24.390009)$278.01074$0$4.0$
117$B(27.406647, 3.2595866, 3.9548101)$0P$(28.335857, 4.07841, 5.054078)$275.505$leftShoulderJoint:(0.060274925, 0.05226935, -1.7921133E-10, 0.99681234);leftElbowJoint:(-0.1471883, 0.059468303, -7.559031E-9, 0.9873192);rightShoulderJoint:(0.0044622584, 0.14951426, 1.9785743E-8, 0.9887495);rightElbowJoint:(0.11717203, 0.09127506, 3.0043723E-9, 0.9889083);$0.0$1A$(7.803307, 4.061091, -47.500645)$59.632168$0$4.0$2A$(-22.092463, 4.0683784, -22.329721)$88.66774$0$4.0$3A$(-11.376682, 4.0718117, 5.4018044)$90.78191$0$4.0$4A$(38.35535, 4.077343, -23.335022)$288.44803$0$4.0$5N$(40.724022, 4.078011, -35.222725)$0.0$0$0.0$
118$B(27.406647, 3.2595866, 3.9548101)$0P$(28.335857, 4.07841, 5.054078)$275.505$leftShoulderJoint:(0.060274925, 0.05226935, -1.7921133E-10, 0.99681234);leftElbowJoint:(-0.1471883, 0.059468303, -7.559031E-9, 0.9873192);rightShoulderJoint:(0.0044622584, 0.14951426, 1.9785743E-8, 0.9887495);rightElbowJoint:(0.11717203, 0.09127506, 3.0043723E-9, 0.9889083);$0.0$1A$(7.803307, 4.061091, -47.500645)$59.632168$0$4.0$2A$(-22.092463, 4.0683784, -22.329721)$88.66774$0$4.0$3A$(-11.376682, 4.0718117, 5.4018044)$90.78191$0$4.0$4A$(38.35535, 4.077343, -23.335022)$287.89172$0$4.0$5N$(40.724022, 4.078011, -35.222725)$0.0$0$0.0$
119$B(27.406647, 3.2595866, 3.9548101)$0P$(28.335857, 4.07841, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(7.803307, 4.061091, -47.500645)$59.632168$0$4.0$2A$(-22.092463, 4.0683784, -22.329721)$88.66774$0$4.0$3A$(-11.376682, 4.0718117, 5.4018044)$90.78191$0$4.0$4A$(38.35535, 4.077343, -23.335022)$288.53012$0$4.0$5N$(40.724022, 4.078011, -35.222725)$0.0$0$0.0$
120$B(27.071325, 3.407238, 3.9228487)$0P$(28.335857, 4.0782933, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(7.856264, 4.0645447, -47.474792)$59.632168$0$4.0$2A$(-22.0318, 4.0704317, -22.330147)$88.66774$0$4.0$3A$(-11.315129, 4.073083, 5.3979826)$90.78191$0$4.0$4A$(38.304886, 4.077135, -23.296385)$286.75113$0$4.0$5N$(40.724, 4.0780215, -35.222713)$0.0$0$0.0$
121$B(27.071325, 3.4071207, 3.9228487)$0P$(28.335857, 4.0782933, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(7.856264, 4.0645447, -47.474792)$59.632168$0$4.0$2A$(-22.0318, 4.0704317, -22.330147)$88.66774$0$4.0$3A$(-11.315129, 4.073083, 5.3979826)$90.78191$0$4.0$4A$(38.304886, 4.077135, -23.296385)$287.60727$0$4.0$5N$(40.724, 4.0780215, -35.222713)$0.0$0$0.0$
122$B(27.071325, 3.4071207, 3.9228487)$0P$(28.335857, 4.0782933, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(7.856264, 4.0645447, -47.474792)$59.632168$0$4.0$2A$(-22.0318, 4.0704317, -22.330147)$88.66774$0$4.0$3A$(-11.315129, 4.073083, 5.3979826)$90.78191$0$4.0$4A$(38.304886, 4.077135, -23.296385)$287.60727$0$4.0$5N$(40.724, 4.0780215, -35.222713)$0.0$0$0.0$
123$B(27.071325, 3.4071207, 3.9228487)$0P$(28.335857, 4.078289, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(7.916174, 4.0618196, -47.44555)$59.632168$0$4.0$2A$(-21.965134, 4.0677066, -22.330563)$88.66774$0$4.0$3A$(-11.253388, 4.0741916, 5.394149)$90.78191$0$4.0$4A$(38.24389, 4.0773, -23.280397)$289.041$0$4.0$5N$(40.723976, 4.078029, -35.222702)$0.0$0$0.0$
124$B(27.071325, 3.407117, 3.9228487)$0P$(28.335857, 4.078289, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(7.916174, 4.0618196, -47.44555)$59.632168$0$4.0$2A$(-21.965134, 4.0677066, -22.330563)$88.66774$0$4.0$3A$(-11.253388, 4.0741916, 5.394149)$90.78191$0$4.0$4A$(38.24389, 4.0773, -23.280397)$288.4842$0$4.0$5N$(40.723976, 4.078029, -35.222702)$0.0$0$0.0$
125$B(27.071325, 3.407117, 3.9228487)$0P$(28.335857, 4.078289, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(7.916174, 4.0618196, -47.44555)$59.632168$0$4.0$2A$(-21.965134, 4.0677066, -22.330563)$88.66774$0$4.0$3A$(-11.253388, 4.0741916, 5.394149)$90.78191$0$4.0$4A$(38.24389, 4.0773, -23.280397)$287.9279$0$4.0$5N$(40.723976, 4.078029, -35.222702)$0.0$0$0.0$
126$B(27.071325, 3.407117, 3.9228487)$0P$(28.335857, 4.078289, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(7.916174, 4.0618196, -47.44555)$59.632168$0$4.0$2A$(-21.965134, 4.0677066, -22.330563)$88.66774$0$4.0$3A$(-11.253388, 4.0741916, 5.394149)$90.78191$0$4.0$4A$(38.24389, 4.0773, -23.280397)$288.66693$0$4.0$5N$(40.723976, 4.078029, -35.222702)$0.0$0$0.0$
127$B(27.071325, 3.407117, 3.9228487)$0P$(28.335857, 4.07841, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(7.969326, 4.065105, -47.4196)$59.632168$0$4.0$2A$(-21.904589, 4.0698633, -22.330921)$88.66774$0$4.0$3A$(-11.191238, 4.0749846, 5.390289)$90.78191$0$4.0$4A$(38.187317, 4.077655, -23.253143)$286.99594$0$4.0$5N$(40.72395, 4.0780334, -35.222687)$0.0$0$0.0$
128$B(27.071325, 3.407238, 3.9228487)$0P$(28.335857, 4.07841, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(7.969326, 4.065105, -47.4196)$59.632168$0$4.0$2A$(-21.904589, 4.0698633, -22.330921)$88.66774$0$4.0$3A$(-11.191238, 4.0749846, 5.390289)$90.78191$0$4.0$4A$(38.187317, 4.077655, -23.253143)$287.91278$0$4.0$5N$(40.72395, 4.0780334, -35.222687)$0.0$0$0.0$
129$B(27.071325, 3.407238, 3.9228487)$0P$(28.335857, 4.07841, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(7.969326, 4.065105, -47.4196)$59.632168$0$4.0$2A$(-21.904589, 4.0698633, -22.330921)$88.66774$0$4.0$3A$(-11.191238, 4.0749846, 5.390289)$90.78191$0$4.0$4A$(38.187317, 4.077655, -23.253143)$287.02585$0$4.0$5N$(40.72395, 4.0780334, -35.222687)$0.0$0$0.0$
130$B(27.071325, 3.407238, 3.9228487)$0P$(28.335857, 4.0782933, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(8.029236, 4.06238, -47.390358)$59.632168$0$4.0$2A$(-21.84362, 4.0716696, -22.331253)$88.66774$0$4.0$3A$(-11.1247, 4.0722594, 5.38616)$90.78191$0$4.0$4A$(38.12472, 4.0777755, -23.261175)$287.02585$0$4.0$5N$(40.723866, 4.0780163, -35.222637)$0.0$0$0.0$
131$B(27.071325, 3.4071207, 3.9228487)$0P$(28.335857, 4.0782933, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(8.029236, 4.06238, -47.390358)$59.632168$0$4.0$2A$(-21.84362, 4.0716696, -22.331253)$88.66774$0$4.0$3A$(-11.1247, 4.0722594, 5.38616)$90.78191$0$4.0$4A$(38.12472, 4.0777755, -23.261175)$286.47906$0$4.0$5N$(40.723866, 4.0780163, -35.222637)$0.0$0$0.0$
132$B(27.071325, 3.4071207, 3.9228487)$0P$(28.335857, 4.0782933, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(8.029236, 4.06238, -47.390358)$59.632168$0$4.0$2A$(-21.84362, 4.0716696, -22.331253)$88.66774$0$4.0$3A$(-11.1247, 4.0722594, 5.38616)$90.78191$0$4.0$4A$(38.12472, 4.0777755, -23.261175)$285.95166$0$4.0$5N$(40.723866, 4.0780163, -35.222637)$0.0$0$0.0$
133$B(27.071325, 3.4071207, 3.9228487)$0P$(28.335857, 4.0782933, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(8.029236, 4.06238, -47.390358)$59.632168$0$4.0$2A$(-21.84362, 4.0716696, -22.331253)$88.66774$0$4.0$3A$(-11.1247, 4.0722594, 5.38616)$90.78191$0$4.0$4A$(38.12472, 4.0777755, -23.261175)$286.45007$0$4.0$5N$(40.723866, 4.0780163, -35.222637)$0.0$0$0.0$
134$B(27.071325, 3.4071207, 3.9228487)$0P$(28.335857, 4.078289, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(8.089146, 4.0596547, -47.361115)$59.632168$0$4.0$2A$(-21.776955, 4.0689445, -22.331629)$88.66774$0$4.0$3A$(-11.06303, 4.0734377, 5.3823295)$90.78191$0$4.0$4A$(38.069046, 4.077761, -23.231083)$284.37592$0$4.0$5N$(40.723846, 4.0780263, -35.222622)$0.0$0$0.0$
135$B(27.071325, 3.407117, 3.9228487)$0P$(28.335857, 4.078289, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(8.089146, 4.0596547, -47.361115)$59.632168$0$4.0$2A$(-21.776955, 4.0689445, -22.331629)$88.66774$0$4.0$3A$(-11.06303, 4.0734377, 5.3823295)$90.78191$0$4.0$4A$(38.069046, 4.077761, -23.231083)$283.50507$0$4.0$5N$(40.723846, 4.0780263, -35.222622)$0.0$0$0.0$
136$B(27.071325, 3.407117, 3.9228487)$0P$(28.335857, 4.078289, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(8.089146, 4.0596547, -47.361115)$59.632168$0$4.0$2A$(-21.776955, 4.0689445, -22.331629)$88.66774$0$4.0$3A$(-11.06303, 4.0734377, 5.3823295)$90.78191$0$4.0$4A$(38.069046, 4.077761, -23.231083)$283.50507$0$4.0$5N$(40.723846, 4.0780263, -35.222622)$0.0$0$0.0$
137$B(27.071325, 3.407117, 3.9228487)$0P$(28.335857, 4.07841, 5.054078)$280.149$leftShoulderJoint:(0.06903841, 0.013400439, -1.2455021E-9, 0.997524);leftElbowJoint:(-0.17482053, 0.10580523, -1.3448928E-8, 0.9788989);rightShoulderJoint:(0.02276593, 0.20255081, 2.6433625E-8, 0.97900707);rightElbowJoint:(0.06372243, 0.11322949, 1.6338875E-9, 0.9915233);$0.0$1A$(8.141757, 4.0634108, -47.33543)$59.632168$0$4.0$2A$(-21.716116, 4.070865, -22.331938)$88.66774$0$4.0$3A$(-11.001066, 4.0743794, 5.37848)$90.78191$0$4.0$4A$(38.01192, 4.0810556, -23.21986)$281.64343$0$4.0$5N$(40.723824, 4.078032, -35.222607)$0.0$0$0.0$
138$B(27.071325, 3.407238, 3.9228487)$0P$(28.335857, 4.07841, 5.054078)$288.8$leftShoulderJoint:(0.08269603, -0.048336636, -2.9332747E-9, 0.9954019);leftElbowJoint:(-0.1613775, 0.12765315, -1.622602E-8, 0.97860205);rightShoulderJoint:(0.023811718, 0.29014048, 3.8059433E-8, 0.9566878);rightElbowJoint:(0.09034831, -0.004671867, 2.3165936E-9, 0.99589926);$0.0$1A$(8.141757, 4.0634108, -47.33543)$59.632168$0$4.0$2A$(-21.716116, 4.070865, -22.331938)$88.66774$0$4.0$3A$(-11.001066, 4.0743794, 5.37848)$90.78191$0$4.0$4A$(38.01192, 4.0810556, -23.21986)$281.64343$0$4.0$5N$(40.723824, 4.078032, -35.222607)$0.0$0$0.0$
139$B(26.942486, 3.440899, 4.024005)$0P$(28.335857, 4.0782933, 5.054078)$288.8$leftShoulderJoint:(0.08269603, -0.048336636, -2.9332747E-9, 0.9954019);leftElbowJoint:(-0.1613775, 0.12765315, -1.622602E-8, 0.97860205);rightShoulderJoint:(0.023811718, 0.29014048, 3.8059433E-8, 0.9566878);rightElbowJoint:(0.09034831, -0.004671867, 2.3165936E-9, 0.99589926);$0.0$1A$(8.201667, 4.0606856, -47.306187)$59.632168$0$4.0$2A$(-21.64945, 4.06814, -22.332266)$88.66774$0$4.0$3A$(-10.934527, 4.0716543, 5.374351)$90.78191$0$4.0$4A$(37.945724, 4.0783305, -23.211958)$279.9845$0$4.0$5N$(40.723633, 4.0779767, -35.222534)$0.0$0$0.0$
140$B(26.942486, 3.4407825, 4.024005)$0P$(28.335857, 4.0782933, 5.054078)$288.8$leftShoulderJoint:(0.08269603, -0.048336636, -2.9332747E-9, 0.9954019);leftElbowJoint:(-0.1613775, 0.12765315, -1.622602E-8, 0.97860205);rightShoulderJoint:(0.023811718, 0.29014048, 3.8059433E-8, 0.9566878);rightElbowJoint:(0.09034831, -0.004671867, 2.3165936E-9, 0.99589926);$0.0$1A$(8.201667, 4.0606856, -47.306187)$59.632168$0$4.0$2A$(-21.64945, 4.06814, -22.332266)$88.66774$0$4.0$3A$(-10.934527, 4.0716543, 5.374351)$90.78191$0$4.0$4A$(37.945724, 4.0783305, -23.211958)$280.81732$0$4.0$5N$(40.723633, 4.0779767, -35.222534)$0.0$0$0.0$
141$B(26.942486, 3.4407825, 4.024005)$0P$(28.335857, 4.0782933, 5.054078)$288.8$leftShoulderJoint:(0.08269603, -0.048336636, -2.9332747E-9, 0.9954019);leftElbowJoint:(-0.1613775, 0.12765315, -1.622602E-8, 0.97860205);rightShoulderJoint:(0.023811718, 0.29014048, 3.8059433E-8, 0.9566878);rightElbowJoint:(0.09034831, -0.004671867, 2.3165936E-9, 0.99589926);$0.0$1A$(8.201667, 4.0606856, -47.306187)$59.632168$0$4.0$2A$(-21.64945, 4.06814, -22.332266)$88.66774$0$4.0$3A$(-10.934527, 4.0716543, 5.374351)$90.78191$0$4.0$4A$(37.945724, 4.0783305, -23.211958)$281.6834$0$4.0$5N$(40.723633, 4.0779767, -35.222534)$0.0$0$0.0$
142$B(26.942486, 3.4407825, 4.024005)$0P$(28.335857, 4.078289, 5.054078)$288.8$leftShoulderJoint:(0.08269603, -0.048336636, -2.9332747E-9, 0.9954019);leftElbowJoint:(-0.1613775, 0.12765315, -1.622602E-8, 0.97860205);rightShoulderJoint:(0.023811718, 0.29014048, 3.8059433E-8, 0.9566878);rightElbowJoint:(0.09034831, -0.004671867, 2.3165936E-9, 0.99589926);$0.0$1A$(8.254535, 4.0642176, -47.280376)$59.632168$0$4.0$2A$(-21.58887, 4.070259, -22.332554)$88.66774$0$4.0$3A$(-10.873011, 4.0729547, 5.3705316)$90.78191$0$4.0$4A$(37.88268, 4.0756054, -23.19029)$283.49054$0$4.0$5N$(40.72361, 4.077995, -35.222523)$0.0$0$0.0$
143$B(26.942486, 3.4407778, 4.024005)$0P$(28.335857, 4.078289, 5.054078)$288.8$leftShoulderJoint:(0.08269603, -0.048336636, -2.9332747E-9, 0.9954019);leftElbowJoint:(-0.1613775, 0.12765315, -1.622602E-8, 0.97860205);rightShoulderJoint:(0.023811718, 0.29014048, 3.8059433E-8, 0.9566878);rightElbowJoint:(0.09034831, -0.004671867, 2.3165936E-9, 0.99589926);$0.0$1A$(8.254535, 4.0642176, -47.280376)$59.632168$0$4.0$2A$(-21.58887, 4.070259, -22.332554)$88.66774$0$4.0$3A$(-10.873011, 4.0729547, 5.3705316)$90.78191$0$4.0$4A$(37.88268, 4.0756054, -23.19029)$283.49054$0$4.0$5N$(40.72361, 4.077995, -35.222523)$0.0$0$0.0$
144$B(26.942486, 3.4407778, 4.024005)$0P$(28.335857, 4.078289, 5.054078)$288.8$leftShoulderJoint:(0.08269603, -0.048336636, -2.9332747E-9, 0.9954019);leftElbowJoint:(-0.1613775, 0.12765315, -1.622602E-8, 0.97860205);rightShoulderJoint:(0.023811718, 0.29014048, 3.8059433E-8, 0.9566878);rightElbowJoint:(0.09034831, -0.004671867, 2.3165936E-9, 0.99589926);$0.0$1A$(8.254535, 4.0642176, -47.280376)$59.632168$0$4.0$2A$(-21.58887, 4.070259, -22.332554)$88.66774$0$4.0$3A$(-10.873011, 4.0729547, 5.3705316)$90.78191$0$4.0$4A$(37.88268, 4.0756054, -23.19029)$284.28998$0$4.0$5N$(40.72361, 4.077995, -35.222523)$0.0$0$0.0$
145$B(26.942486, 3.4407778, 4.024005)$0P$(28.335857, 4.07841, 5.054078)$288.8$leftShoulderJoint:(0.08269603, -0.048336636, -2.9332747E-9, 0.9954019);leftElbowJoint:(-0.1613775, 0.12765315, -1.622602E-8, 0.97860205);rightShoulderJoint:(0.023811718, 0.29014048, 3.8059433E-8, 0.9566878);rightElbowJoint:(0.09034831, -0.004671867, 2.3165936E-9, 0.99589926);$0.0$1A$(8.314445, 4.0614924, -47.25113)$59.632168$0$4.0$2A$(-21.527725, 4.0719333, -22.33282)$88.66774$0$4.0$3A$(-10.811295, 4.074084, 5.3666983)$90.78191$0$4.0$4A$(37.833645, 4.0764775, -23.152163)$282.5793$0$4.0$5N$(40.72359, 4.07801, -35.222515)$0.0$0$0.0$
146$B(26.942486, 3.440899, 4.024005)$0P$(28.335857, 4.07841, 5.054078)$288.8$leftShoulderJoint:(0.08269603, -0.048336636, -2.9332747E-9, 0.9954019);leftElbowJoint:(-0.1613775, 0.12765315, -1.622602E-8, 0.97860205);rightShoulderJoint:(0.023811718, 0.29014048, 3.8059433E-8, 0.9566878);rightElbowJoint:(0.09034831, -0.004671867, 2.3165936E-9, 0.99589926);$0.0$1A$(8.314445, 4.0614924, -47.25113)$59.632168$0$4.0$2A$(-21.527725, 4.0719333, -22.33282)$88.66774$0$4.0$3A$(-10.811295, 4.074084, 5.3666983)$90.78191$0$4.0$4A$(37.833645, 4.0764775, -23.152163)$283.34937$0$4.0$5N$(40.72359, 4.07801, -35.222515)$0.0$0$0.0$
147$B(26.942486, 3.440899, 4.024005)$0P$(28.335857, 4.07841, 5.054078)$288.8$leftShoulderJoint:(0.08269603, -0.048336636, -2.9332747E-9, 0.9954019);leftElbowJoint:(-0.1613775, 0.12765315, -1.622602E-8, 0.97860205);rightShoulderJoint:(0.023811718, 0.29014048, 3.8059433E-8, 0.9566878);rightElbowJoint:(0.09034831, -0.004671867, 2.3165936E-9, 0.99589926);$0.0$1A$(8.314445, 4.0614924, -47.25113)$59.632168$0$4.0$2A$(-21.527725, 4.0719333, -22.33282)$88.66774$0$4.0$3A$(-10.811295, 4.074084, 5.3666983)$90.78191$0$4.0$4A$(37.833645, 4.0764775, -23.152163)$282.6281$0$4.0$5N$(40.72359, 4.07801, -35.222515)$0.0$0$0.0$
148$B(26.942486, 3.440899, 4.024005)$0P$(28.335857, 4.0782933, 5.054078)$288.8$leftShoulderJoint:(0.08269603, -0.048336636, -2.9332747E-9, 0.9954019);leftElbowJoint:(-0.1613775, 0.12765315, -1.622602E-8, 0.97860205);rightShoulderJoint:(0.023811718, 0.29014048, 3.8059433E-8, 0.9566878);rightElbowJoint:(0.09034831, -0.004671867, 2.3165936E-9, 0.99589926);$0.0$1A$(8.367494, 4.0648637, -47.22523)$59.632168$0$4.0$2A$(-21.46106, 4.069208, -22.333073)$88.66774$0$4.0$3A$(-10.74933, 4.0750113, 5.3628488)$90.78191$0$4.0$4A$(37.772068, 4.077427, -23.145119)$284.23694$0$4.0$5N$(40.723576, 4.0780225, -35.222504)$0.0$0$0.0$
149$B(26.942486, 3.4407825, 4.024005)$0P$(28.335857, 4.0782933, 5.054078)$288.8$leftShoulderJoint:(0.08269603, -0.048336636, -2.9332747E-9, 0.9954019);leftElbowJoint:(-0.1613775, 0.12765315, -1.622602E-8, 0.97860205);rightShoulderJoint:(0.023811718, 0.29014048, 3.8059433E-8, 0.9566878);rightElbowJoint:(0.09034831, -0.004671867, 2.3165936E-9, 0.99589926);$0.0$1A$(8.367494, 4.0648637, -47.22523)$59.632168$0$4.0$2A$(-21.46106, 4.069208, -22.333073)$88.66774$0$4.0$3A$(-10.74933, 4.0750113, 5.3628488)$90.78191$0$4.0$4A$(37.772068, 4.077427, -23.145119)$285.05017$0$4.0$5N$(40.723576, 4.0780225, -35.222504)$0.0$0$0.0$
150$B(26.942486, 3.4407825, 4.024005)$0P$(28.335857, 4.0782933, 5.054078)$288.8$leftShoulderJoint:(0.08269603, -0.048336636, -2.9332747E-9, 0.9954019);leftElbowJoint:(-0.1613775, 0.12765315, -1.622602E-8, 0.97860205);rightShoulderJoint:(0.023811718, 0.29014048, 3.8059433E-8, 0.9566878);rightElbowJoint:(0.09034831, -0.004671867, 2.3165936E-9, 0.99589926);$0.0$1A$(8.367494, 4.0648637, -47.22523)$59.632168$0$4.0$2A$(-21.46106, 4.069208, -22.333073)$88.66774$0$4.0$3A$(-10.74933, 4.0750113, 5.3628488)$90.78191$0$4.0$4A$(37.772068, 4.077427, -23.145119)$285.62222$0$4.0$5N$(40.723576, 4.0780225, -35.222504)$0.0$0$0.0$
